title,nb_avis,notes_moyennes,note_max,note_min,ecart-type,nb_commentaires
Black Angel,60,8.083333333333334,10.0,0.0,2.075987047700978,60
Ceylan,28,7.464285714285714,10.0,5.0,1.3491304833945788,28
Skyjo,134,7.3059701492537314,10.0,2.0,1.5986356680335065,134
Scythe plateau modulaire,3,8.333333333333334,9.0,8.0,0.4714045207910317,3
"Robinson Crusoé  -  Aventures sur l’Île Maudite - Extension ""Contes & Mystères""",3,9.333333333333334,10.0,9.0,0.4714045207910317,3
Break the Code,17,7.647058823529412,9.0,6.0,1.081457430050014,17
Rise of Tribes - deluxe upgrade,30,7.433333333333334,9.0,4.0,1.3585122581543216,30
Flyin' Goblin,19,7.473684210526316,10.0,6.0,1.0939268258329753,19
Kuala,7,6.857142857142857,8.0,5.0,1.1248582677159729,7
Your Theme Park,4,7.5,10.0,2.0,3.2015621187164243,4
Welkin,10,7.0,9.0,5.0,1.1832159566199232,10
La Couronne d'Emara,13,7.538461538461538,10.0,2.0,1.9460170216420796,13
Genesia,12,7.75,10.0,6.0,1.3616778865306827,12
La Princesse aux échelles,2,8.0,9.0,7.0,1.0,2
Cowboy Bebop - Space Serenade,30,8.233333333333333,10.0,6.0,1.1160446028522137,30
Mystery House,20,5.7,8.0,0.0,2.3895606290697042,20
Rallyman GT,20,8.2,10.0,5.0,1.1661903789690597,20
Word Bank,16,7.4375,10.0,5.0,1.2231491119238078,16
Agricola Big Box 2 joueurs - Les Fermiers de la Lande,22,7.954545454545454,10.0,5.0,1.3973114680853997,22
Magnum Opus,17,8.0,10.0,4.0,1.6087993330796875,17
Dragons Arena,4,5.0,7.0,2.0,2.1213203435596424,4
Braverats,12,7.333333333333333,9.0,5.0,1.247219128924647,12
GOLD RIVER,20,7.9,10.0,4.0,1.4798648586948744,20
Wild Space,38,7.868421052631579,10.0,5.0,1.2808519498566275,38
Le Défi de la Reine,16,8.125,10.0,7.0,0.9270248108869579,16
TIME Stories Revolution : Experience,5,7.0,9.0,5.0,1.6733200530681511,5
"TTMC - Tu Te Mets Combien ? - Extension ""Le Complément Belge""",2,5.5,9.0,2.0,3.5,2
Batman - Le Sauveur de Gotham,1,6.0,6.0,6.0,0.0,1
Boss Quest,15,8.866666666666667,10.0,7.0,0.9568466729604881,15
Karak : Mon premier donjon Crawler,17,8.588235294117647,10.0,6.0,0.9737026680733439,17
The Faceless,13,7.6923076923076925,10.0,5.0,1.3803352649943355,13
Villainous : Mauvais jusqu'à l'Os,15,8.066666666666666,10.0,6.0,1.0624918300339485,15
Crystal Palace VF,15,7.866666666666666,10.0,4.0,1.5434449203720302,15
Dice Hospital,31,7.516129032258065,10.0,3.0,1.7202956936739846,31
Silmaris,1,10.0,10.0,10.0,0.0,1
Super-Héros contre Docteur Vilain,1,7.0,7.0,7.0,0.0,1
Terror Below,9,6.555555555555555,9.0,4.0,1.7069212773041353,9
Alubari:  A nice cup of tea,23,7.695652173913044,10.0,6.0,1.0398487602696869,23
Klimato,12,6.75,10.0,3.0,2.0052015692526606,12
Reichbusters: Projekt Vril,2,8.5,9.0,8.0,0.5,2
Unlock! Epic Adventures,58,7.689655172413793,10.0,2.0,1.958244257172509,58
Infinity N4,2,9.5,10.0,9.0,0.5,2
Tainted Grail : la Chute d'Avalon,41,8.439024390243903,10.0,2.0,1.6086470680820633,41
