author,nb_avis,notes_moyennes,ecart-type,nb_commentaires
Viglaw,1,10.0,0.0,1
lordc75,1,10.0,0.0,1
tommyyy,13,8.923076923076923,0.9970370305242864,13
JeanBart,4,6.75,1.920286436967152,4
CheeseGeek,44,7.545454545454546,1.643921938184102,44
TKpalace,85,6.941176470588236,1.6967300119830548,85
88,58,6.793103448275862,2.2264756492907485,58
Lokantl,19,6.526315789473684,2.740887698166639,19
jap,28,7.071428571428571,2.359306366416249,28
draich,13,7.538461538461538,2.098181799536285,13
pan bagnat,4,8.25,2.0463381929681126,4
Yann78,7,8.0,1.0690449676496976,7
Barbouze,4,7.5,2.179449471770337,4
robiot6,2,8.0,2.0,2
Ekoi29Dr,1,1.0,0.0,1
c_co13,5,5.0,0.0,5
SaintScylla,1,10.0,0.0,1
topkewl,29,9.241379310344827,1.3301587256542011,29
stam48,26,7.769230769230769,1.8873606379054304,26
Arkhanor,26,7.384615384615385,1.8826520385416023,26
bernv,2,10.0,0.0,2
Léon_Macska,26,7.846153846153846,1.895182306885372,26
Bob2433,2,10.0,0.0,2
foolk,2,8.0,0.0,2
pyromane,7,8.857142857142858,1.355261854357877,7
claybrook,3,7.333333333333333,1.699673171197595,3
Kipling,3,8.333333333333334,1.699673171197595,3
Berzingh,1,10.0,0.0,1
furtico915,1,10.0,0.0,1
GrayFox,3,7.0,2.8284271247461903,3
Kei,3,9.0,0.816496580927726,3
Khinn751,1,8.0,0.0,1
Brems13,2,9.5,0.5,2
Quinarbre,1,8.0,0.0,1
tuco95,6,9.333333333333334,0.74535599249993,6
drizztt24,1,10.0,0.0,1
PatBleed,1,9.0,0.0,1
iodrigar,1,10.0,0.0,1
animorphal,1,6.0,0.0,1
Bertrand Lecomte,32,8.0,2.23606797749979,32
Koban,21,7.285714285714286,2.946230152049147,21
Erreur404,8,8.875,0.7806247497997998,8
NiziL,3,5.666666666666667,0.9428090415820634,3
Fabrice63,3,9.0,0.0,3
matmax54,4,9.5,0.8660254037844386,4
Scalou48,6,9.166666666666666,1.4624940645653532,6
Julien gar go,1,7.0,0.0,1
mastergraham,4,7.75,2.8613807855648994,4
Emmanuel le Suricate,1,10.0,0.0,1
fredhamster,3,9.333333333333334,0.9428090415820634,3
Paolo2a,2,9.0,1.0,2
Ruppin,2,4.0,1.0,2
baptal,1,0.0,0.0,1
zarovitch,1,0.0,0.0,1
andregulluni,1,10.0,0.0,1
atti,3,6.666666666666667,1.247219128924647,3
Crabman,1,10.0,0.0,1
FlamKeuch,1,8.0,0.0,1
mikube,14,7.642857142857143,1.1715156762040515,14
elijah29,5,9.4,0.8,5
